id,isbn13,isbn10,title,language,binding,release_date,edition,pages,dimensions,rating,publisher,author,copies
1,9780435910105,435910108,Opening Spaces: An Anthology of Contemporary African Women's Writing,English,Paperback,1999-09-01,1st Edition,186,5.07 (w) x 7.78 (h) x 0.42 (d),2.7,Heinemann,"Yvonne Vera (Editor), Yvonne Vera",18
2,9781906523374,1906523371,The Caine Prize for African Writing 2010: 11th Annual Collection,English,Paperback,2010-08-01,,208,5.00 (w) x 7.70 (h) x 0.70 (d),2.0,New Internationalist,The Caine Prize for African Writing,12
3,9780394721170,394721179,African Folktales,English,Paperback,1983-08-01,,,,1.8,Knopf Doubleday Publishing Group,"Roger D. Abrahams, Dan Frank",13
4,9780813190761,813190762,Unchained Voices: An Anthology of Black Authors in the English-Speaking World of the Eighteenth Century,English,Paperback,2003-12-01,Expanded,416,6.10 (w) x 9.40 (h) x 1.10 (d),4.8,University Press of Kentucky,Vincent Carretta,5
5,9781558615007,1558615008,Women Writing Africa: West Africa and the Sahel,English,Paperback,2005-08-01,,560,6.00 (w) x 9.00 (h) x 1.30 (d),1.6,"Feminist Press at CUNY, The","Esi Sutherland-Addy (Editor), Abena P. A. Busia (Editor), Aminata Diaw",8
6,9781906523244,190652324X,"10 Years of the Caine Prize for African Writing: Plus Coetzee, Gordimer, Achebe, Okri",English,Hardcover,2009-09-01,,,,3.7,New Internationalist,The Caine The Caine Prize for African Writing,20
7,9781592211517,1592211518,Introduction to African Oral Literature and Performance,English,Hardcover,2006-02-01,New Edition,146,8.30 (w) x 5.30 (h) x 0.80 (d),4.0,Africa World Press,"Bayo Ogunjimi, Abdul Rasheed Na'allah",20
8,9780803211025,803211023,Violence in Francophone African and Caribbean Women's Literature,English,Hardcover,2009-12-01,,236,5.80 (w) x 8.60 (h) x 1.00 (d),4.3,UNP - Nebraska,Marie-Chantal Kalisa,17
9,9780253211101,253211107,Oral Epics from Africa,English,Paperback,2008-03-01,1st Edition,,,3.7,Indiana University Press,"John William Johnson, Thomas A. Hale, Stephen (Eds.) Belcher, Thomas A. Hale (Editor), Stephen Belcher",3
10,9780912469096,912469099,African Fundamentalism: A Literary and Cultural Anthology of Garvey's Harlem Renaissance,English,Hardcover,1991-10-01,,363,5.31 (w) x 8.20 (h) x 0.85 (d),2.0,"Majority Press, Incorporated, The",Tony Martin,8
11,9780140100044,140100040,Land Apart: A South African Reader,English,Paperback,1987-06-01,,256,5.08 (w) x 7.74 (h) x 0.56 (d),2.5,Penguin Group (USA),"Various, Andre Brink, J. M. Coetzee",4
12,9781558615342,1558615342,Women Writing Africa: The Eastern Region,English,Paperback,2007-02-01,,,,1.6,"Feminist Press at CUNY, The","Amandina Lihamba (Editor), Fulata L. Moyo (Editor), Mugaybuso M. Mulokozi",6
13,9780795701849,795701845,Nobody Ever Said AIDS: Poems and Stories from Southern Africa,English,Paperback,2010-03-01,New Edition,192,5.40 (w) x 8.30 (h) x 0.60 (d),3.1,NB Publishers,"Nobantu Rasebotsa (Editor), Kylie Thomas (Editor), Meg Samuelson (Editor), Njabulo S. Ndebele",7
14,9780471380603,471380601,Step into a World: A Global Anthology of the New Black Literature,English,Hardcover,2000-10-01,1,496,6.48 (w) x 9.55 (h) x 1.48 (d),1.2,"Wiley, John & Sons, Incorporated","Kevin Powell (Editor), Powell",1
15,9780814781432,814781438,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,English,Hardcover,2004-02-01,,,,3.3,New York University Press,"Werner Sollors, Werner Sollors",7
16,9781906523145,1906523142,The Caine Prize 2009: The Caine Prize for African Writing 10th Annual Collection,English,Paperback,2009-07-01,10,214,5.80 (w) x 8.20 (h) x 0.60 (d),1.7,New Internationalist,New Internationalist,6
17,9780844212029,844212024,"Traditions in World Literature: Literature of Africa, Softcover Student Edition",English,Paperback,1999-01-01,1,320,7.40 (w) x 9.10 (h) x 0.80 (d),2.4,Glencoe/McGraw-Hill,"McGraw-Hill, McGraw-Hill Staff",1
18,9781869140014,186914001X,Love Child,English,Paperback,2002-03-01,,124,8.50 (w) x 5.30 (h) x 0.40 (d),2.6,University Of KwaZulu-Natal Press,Gcina Mhlophe,20
19,9781770091450,1770091459,Seventh Street Alchemy 2004: A Selection of Works from the Caine Prize for African Writing,English,Paperback,2006-06-01,,228,5.75 (w) x 8.25 (h) x 0.50 (d),1.9,Jacana Media,"Jacana Media (Manufactured by), Monica Arac de Nyeko, Doreen Baingana, Parselelo Kantai",17
20,9781558614062,1558614060,Women Writing Africa: The Southern Region: Volume 1,English,Library Binding,2002-12-01,First Edition,560,6.30 (w) x 9.30 (h) x 1.50 (d),1.7,"Feminist Press at CUNY, The","Sheila Meintjes, Dorothy Driver (Editor), Sheila Meintjes (Editor), Margie Orford (Editor), Chiedza Musengezi",12
21,9780739105627,739105620,Of Suffocated Hearts and Tortured Souls: Seeking Subjecthood through Madness in Francophone Women's,English,Hardcover,2002-12-01,,218,0.63 (w) x 6.00 (h) x 9.00 (d),3.7,The Rowman & Littlefield Publishing Group Inc,"ValZrie Orlando, Valzrie Orlando, Valrie Orlando",10
22,9780325070254,325070253,Less Than One and Double: A Feminist Reading of African Women's Writing,English,Hardcover,2001-11-01,,384,,1.4,Heinemann,Kenneth W. Harrow,10
23,9781588264916,1588264912,The Rienner Anthology of African Literature,English,Library Binding,2007-04-01,New Edition,900,6.30 (w) x 9.10 (h) x 1.90 (d),1.0,"Lynne Rienner Publishers, Inc.",Anthonia C. Kalu,14
24,9781594606472,1594606471,Oral and Written Expressions of African Cultures,English,Paperback,2009-03-01,New Edition,264,6.00 (w) x 9.00 (h) x 0.70 (d),1.8,Carolina Academic Press,"Toyin Falola, Fallou Ngom",20
25,9781904456735,1904456731,Jambula Tree and other stories: The Caine Prize for African Writing 8th Annual Collection,English,Paperback,2008-07-01,8,214,5.80 (w) x 8.10 (h) x 0.70 (d),4.4,New Internationalist,Monica Arac de Nyeko,12
26,9780795701061,795701063,Up the Down Escalator,English,Paperback,2010-03-01,,,,4.2,NB Publishers,"Linda Rode, Hans Bodenstein",11
27,9780869809181,869809180,Basali!: Stories by and about Women in Lesotho,English,Paperback,1995-02-01,,136,5.70 (w) x 7.96 (h) x 0.40 (d),1.4,University of Natal Press,K. Limakatso Kendall,20
28,9781563976988,1563976986,How God Fix Jonah,English,Hardcover,2000-10-01,"1ST, REVISED",160,7.33 (w) x 10.32 (h) x 0.67 (d),3.0,Boyds Mills Press,"Lorenz Graham, Ashley Bryan (Illustrator), Effie Lee Morris",9
29,9781919931234,1919931236,Glass Jars among Trees,English,Paperback,2005-04-01,,188,7.75 (w) x 5.00 (h) x 0.47 (d),3.4,Jacana Media,"Arja Salafranca (Editor), Alan Finlay",13
30,9780325002118,325002118,Running Towards Us: New Writing from South Africa,English,Paperback,2000-05-01,1st Edition,216,5.90 (w) x 9.10 (h) x 0.50 (d),4.5,Heinemann,"Isabel Balseiro (Editor), Isabel Balseiro",10
31,9780739105634,739105639,Of Suffocated Hearts And Tortured Souls,English,Paperback,2002-12-01,,,,3.5,Lexington Books,Valerie Key Orlando,11
32,9780814781449,814781446,An Anthology of Interracial Literature: Black-White Contacts in the Old World and the New,English,Paperback,2004-02-01,New Edition,,,4.8,New York University Press,"Werner Sollors (Editor), Werner Sollors",15
33,9780939691029,939691027,Among the Blacks,English,Paperback,1988-10-01,,64,5.30 (w) x 7.80 (h) x 0.30 (d),3.4,Avenue B,"Ron Padgett, Raymond Roussel",4
34,9780446579223,044657922X,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,English,Hardcover,2010-09-01,,244,8.40 (w) x 10.30 (h) x 0.90 (d),4.9,Grand Central Publishing,Jon Stewart,6
35,9780547241630,547241631,The Best American Nonrequired Reading 2010,English,Paperback,2010-10-01,,484,5.50 (w) x 8.20 (h) x 1.30 (d),2.4,Houghton Mifflin Harcourt,"Dave Eggers (Editor), David Sedaris",17
36,9781607886150,1607886154,The Daily Show with Jon Stewart Presents Earth (the Book): A Visitor's Guide to the Human Race,English,Compact Disc,2010-10-01,,,,1.8,Hachette Audio,Jon Stewart,10
37,9780486285535,486285537,100 Best-Loved Poems,English,Paperback,1995-05-01,Special Value,96,5.22 (w) x 8.28 (h) x 0.28 (d),2.9,Dover Publications,Philip Smith,3
38,9780393930573,393930572,"The Norton Anthology of American Literature, Shorter Seventh Edition, One-Volume Paperback",English,Paperback,2007-07-01,7th Edition,3008,6.00 (w) x 9.20 (h) x 2.50 (d),2.9,"Norton, W. W. & Company, Inc.","Wayne Franklin (Editor), Jerome Klinkowitz (Editor), Mary Loeffelholz (Editor), Arnold Krupat (Editor), Philip F. Gura",12
39,9781615521647,161552164X,The Best American Poetry 2009,English,Paperback,2009-09-01,Bargain,,,3.2,Simon & Schuster Adult Publishing Group,"David Wagoner (Editor), David Lehman",13
40,9780195092622,195092627,The Oxford Book of American Short Stories,English,Paperback,1994-09-01,~,,,4.4,"Oxford University Press, USA",Joyce Carol Oates,1
41,9780618982721,618982728,The Best American Essays 2009,English,Paperback,2009-10-01,,224,5.40 (w) x 8.40 (h) x 0.60 (d),4.8,Houghton Mifflin Harcourt,"Mary Oliver (Editor), Robert Atwan (Editor), Mary Oliver",8
42,9780393929942,393929949,"The Norton Anthology of American Literature, Package 2: Volumes C, D, and E",English,Paperback,2007-04-01,7th Edition,2870,6.00 (w) x 9.20 (h) x 3.70 (d),2.5,"Norton, W. W. & Company, Inc.","Jerome Klinkowitz (Editor), Robert Levine (Editor), Mary Loeffelholz (Editor), Arnold Krupat (Editor), Patricia Wallace",9
